121,-,26851,-,9061,,,,,,,
131,-,26861,-,9071,,,,,,,
141,-,26871,-,9081,,,,,,,
151,-,26881,-,9091,,,,,,,
161,-,26891,-,9101,,,,,,,
171,-,26901,-,9111,,,,,,,
181,-,26911,-,9121,,,,,,,
191,-,26921,-,9131,,,,,,,
201,-,26931,-,9141,,,,,,,
211,-,26941,-,9151,,,,,,,
221,-,26951,-,9161,,,,,,,
231,-,26961,-,9171,,,,,,,
731,731,-,731,-,,,,,,,
741,741,-,741,-,,,,,,,
751,751,-,751,-,,,,,,,
761,761,-,761,9701,,,,,,,
771,771,-,771,9711,,,,,,,
781,781,-,781,9721,,,,,,,
791,791,-,791,9731,,,,,,,
801,801,-,801,9741,,,,,,,
811,811,-,811,9751,,,,,,,
821,821,-,821,9761,,,,,,,
831,831,-,831,9771,,,,,,,
841,841,-,841,9781,,,,,,,
851,851,-,851,9791,,,,,,,
861,861,-,861,9801,,,,,,,
871,871,-,871,9811,,,,,,,
881,881,-,881,9821,,,,,,,
891,891,-,891,9831,,,,,,,
901,901,-,901,9841,,,,,,,
911,911,27641,911,9851,,,,,,,
921,921,27651,921,9861,,,,,,,
931,931,27661,931,9871,,,,,,,
941,941,27671,941,9881,,,,,,,
951,951,27681,951,9891,,,,,,,
961,961,27691,961,9901,,,,,,,
971,971,27701,971,9911,,,,,,,
981,981,27711,981,9921,,,,,,,
991,991,27721,991,9931,,,,,,,
1001,1001,27731,1001,9941,,,,,,,
1011,1011,27741,1011,9951,,,,,,,
1021,1021,27751,1021,9961,,,,,,,
1031,1031,27761,1031,9971,,,,,,,
1041,1041,27771,1041,9981,,,,,,,
1051,1051,27781,1051,9991,,,,,,,
1061,1061,27791,1061,10001,,,,,,,
1071,1071,27801,1071,10011,,,,,,,
1081,1081,27811,1081,10021,,,,,,,
1091,1091,27821,1091,10031,,,,,,,
1101,1101,27831,1101,10041,,,,,,,
1111,1111,27841,1111,10051,,,,,,,
1121,1121,27851,1121,10061,,,,,,,
1131,1131,27861,1131,10071,,,,,,,
1141,1141,27871,1141,10081,,,,,,,
1151,1151,27881,1151,10091,,,,,,,
1161,1161,27891,1161,10101,,,,,,,
1171,1171,27901,1171,10111,,,,,,,
1181,1181,27911,1181,10121,,,,,,,
1191,1191,27921,1191,10131,,,,,,,
1201,1201,27931,1201,10141,,,,,,,
1281,1281,28011,1281,-,,,,,,,
1291,1291,28021,1291,-,,,,,,,
1301,1301,28031,1301,-,,,,,,,
1311,1311,28041,1311,10251,,,,,,,
1321,1321,28051,1321,10261,,,,,,,
1331,1331,28061,1331,10271,,,,,,,
1341,1341,28071,1341,10281,,,,,,,
1351,1351,28081,1351,10291,,,,,,,
1361,1361,28091,1361,10301,,,,,,,
1371,1371,28101,1371,10311,,,,,,,
1381,1381,28111,1381,10321,,,,,,,
1391,1391,-,1391,10331,,,,,,,
1401,1401,-,1401,10341,,,,,,,
1411,1411,-,1411,10351,,,,,,,
1421,1421,-,1421,10361,,,,,,,
1431,1431,-,1431,10371,,,,,,,
1441,1441,-,1441,10381,,,,,,,
