#Parameters = {n=24}
#"Frequency / GHz"	"Z (n=24) [Re]"	"Z (n=24) [Im]"
#-------------------------------------------------
0.0000000000000	1.0194429475213	-3.1939314288801e-13
0.00020480336573447	0.58286998414235	-0.67151897457733
0.00040960673146894	-0.089256686468412	-0.55394847806695
0.00061441009720341	-0.17082732285253	-0.077604534389985
0.00081921346293787	0.090498010409006	0.0086051605939590
0.0010240168286723	0.085470911011687	-0.15436311567067
0.0012288201944068	-0.075816707784149	-0.097865085414431
0.0014336235601413	-0.032350074460422	0.056706510348883
0.0016384269258757	0.074654198119922	0.022666290124253
0.0018432302916102	0.014151392627443	-0.045347408090320
0.0020480336573447	-0.052142801484346	0.035888306148017
0.0022528370230792	0.016268216934863	0.10078429184747
0.0024576403888136	0.052675093000794	0.046170554196533
0.0026624437545481	-0.013492899724804	0.036340670504552
0.0028672471202826	-0.023686960929351	0.11275350710225
0.0030720504860170	0.037508881914634	0.12504882079972
0.0032768538517515	0.029889477756945	0.080586545576701
0.0034816572174860	-0.019656585656214	0.10754833686724
0.0036864605832204	0.0034548019027473	0.16248274049556
0.0038912639489549	0.042045829339769	0.14546044644892
0.0040960673146894	0.011498562496738	0.12450512030986
0.0043008706804238	-0.012142555590717	0.16851129685897
0.0045056740461583	0.024176938547773	0.19604282295326
0.0047104774118928	0.036089600750324	0.16962585989950
0.0049152807776272	0.0011299472384196	0.17420927679332
0.0051200841433617	0.0026466242010936	0.21803909204889
0.0053248875090962	0.035669869757583	0.22129752205681
0.0055296908748306	0.025595210766205	0.20093136064292
0.0057344942405651	-7.4591876935716e-05	0.22486791847562
0.0059392976062996	0.018692301924015	0.25657573635865
0.0061441009720341	0.037944373221232	0.24484864808949
0.0063489043377685	0.015950886403582	0.23937471882041
0.0065537077035030	0.0064239575514566	0.27200994725262
0.0067585110692375	0.031196019760899	0.28669835852771
0.0069633144349719	0.033486192385468	0.27151862799804
0.0071681178007064	0.010931152208941	0.28243087408083
0.0073729211664409	0.017230941112435	0.31279574661612
0.0075777245321753	0.037480287893440	0.31246351871495
0.0077825278979098	0.026200793624137	0.30369858443801
0.0079873312636443	0.011969380874093	0.32636042193217
0.0081921346293787	0.028266680423067	0.34670300303626
0.0083969379951132	0.037386730174110	0.33817697489141
0.0086017413608477	0.020052886609759	0.34119511406399
0.0088065447265821	0.018119496751073	0.36762059320148
0.0090113480923166	0.036090481538494	0.37539542756308
0.0092161514580511	0.032885275618742	0.36712767799748
0.0094209548237855	0.017796937716022	0.38181598884184
0.0096257581895200	0.026737772426750	0.40406479215297
0.0098305615552545	0.038926256584869	0.40192527633248
0.010035364920989	0.027108649496670	0.40073179274159
0.010240168286723	0.020246564502455	0.42246519905991
0.010444971652458	0.034632071799047	0.43552328241762
0.010649775018192	0.037041660227958	0.42954739598289
0.010854578383927	0.023121597530309	0.43835381208127
0.011059381749661	0.026268849502018	0.46038586084659
0.011264185115396	0.039268255901481	0.46363241038261
0.011468988481130	0.032390466922416	0.46056586901292
0.011673791846865	0.022828052021314	0.47782713596107
0.011878595212599	0.033433783190369	0.49415613030431
0.012083398578334	0.039627064501073	0.49106276366188
0.012288201944068	0.027716682728067	0.49562662750995
0.012493005309803	0.026407667125540	0.51644858564707
0.012697808675537	0.039067395918775	0.52409745660756
0.012902612041272	0.036438022362456	0.52043155333980
0.013107415407006	0.025446934115341	0.53365809468250
0.013312218772740	0.032417739360539	0.55207765368036
0.013517022138475	0.041305120169300	0.55201592322501
0.013721825504209	0.031762049547962	0.55332111379760
0.013926628869944	0.026795324662455	0.57243854228648
0.014131432235678	0.038491069475682	0.58392857855094
0.014336235601413	0.039762748171309	0.58039277036559
0.014541038967147	0.028090880936499	0.58973922250792
0.014745842332882	0.031362281253639	0.60955705875205
0.014950645698616	0.042323543711325	0.61281727973738
0.015155449064351	0.035610284786916	0.61139146656807
0.015360252430085	0.027357615233591	0.62822323846987
0.015565055795820	0.037402358685159	0.64338796864990
0.015769859161554	0.042609803164983	0.64075279734262
0.015974662527289	0.031043067430121	0.64599315194907
0.016179465893023	0.030176815446005	0.66647547406990
0.016384269258757	0.042559558739330	0.67371875121750
0.016589072624492	0.039526387672235	0.67010575456068
0.016793875990226	0.028366992166872	0.68365474212862
0.016998679355961	0.035635986366270	0.70233009382073
0.017203482721695	0.044844722149210	0.70182195551615
0.017408286087430	0.034651821869955	0.70265438101670
0.017613089453164	0.029084685185554	0.72255318122120
0.017817892818899	0.041700254521290	0.73462011492290
0.018022696184633	0.043445724526548	0.72991114983963
0.018227499550368	0.030312031609703	0.73885178412481
0.018432302916102	0.033269788034461	0.76032496366367
0.018637106281837	0.046021111769503	0.76366644296737
0.018841909647571	0.039060922839198	0.76027053103088
0.019046713013306	0.028657268599418	0.77765116835703
0.019251516379040	0.039543487821785	0.79502261139799
0.019456319744775	0.046897128778218	0.79115778757500
0.019661123110509	0.033639412947378	0.79432102360407
0.019865926476243	0.030781879874122	0.81690173097908
0.020070729841978	0.045599268577431	0.82591850361136
0.020275533207712	0.043980913666087	0.81950837135776
0.020480336573447	0.029635187859507	0.83202813341425
0.020685139939181	0.036261369906521	0.85418148477203
0.020889943304916	0.049103499332631	0.85382768136669
0.021094746670650	0.038454372752599	0.85091049127117
0.021299550036385	0.029034988676762	0.87187709842255
0.021504353402119	0.043276004762098	0.88776983734638
0.021709156767854	0.048641488762780	0.88084087588581
0.021913960133588	0.032624311513462	0.88644310947380
0.022118763499323	0.032547817974682	0.91140892943729
0.022323566865057	0.049272046136204	0.91735594481089
