#
#"Frequency / GHz"	"Z [Re]"	"Z [Im]"
#-----------------------------------
0.0000000000000	0.0045228555121526	-9.3334667108490e-12
0.0051195723057179	0.0057828266767603	0.030716389263026
0.010239144611436	0.0091528615451036	0.060218212344780
0.015358716917154	0.013679327916460	0.087802663441690
0.020478289222872	0.018250890306070	0.11336736301963
0.025597861528590	0.021859210436781	0.13747433763545
0.030717433834308	0.024176079441421	0.16127347318629
0.035837006140025	0.025925680133629	0.18561665100227
0.040956578445743	0.027982243540693	0.21020458754047
0.046076150751461	0.030185340709652	0.23431483207288
0.051195723057179	0.031863273644329	0.25813644883469
0.056315295362897	0.033209805121539	0.28238664723493
0.061434867668615	0.034972130950765	0.30691955260527
0.066554439974333	0.037040192815513	0.33100048707898
0.071674012280051	0.038693462201471	0.35473680124730
0.076793584585769	0.040044150782425	0.37885026494369
0.081913156891487	0.041816571000906	0.40322796543098
0.087032729197205	0.043893562747991	0.42714701639412
0.092152301502923	0.045552114815119	0.45073281121460
0.097271873808641	0.046925187147462	0.47470792595361
0.10239144611436	0.048730564657008	0.49892863048538
0.10751101842008	0.050807044002545	0.52268068967510
0.11263059072579	0.052438690981600	0.54614272064615
0.11775016303151	0.053816816793692	0.57003051920945
0.12286973533723	0.055650224983144	0.59413774948300
0.12798930764295	0.057709938053086	0.61776241826472
0.13310887994867	0.059294909241240	0.64115682325593
0.13822845225438	0.060675343914874	0.66502030178745
0.14334802456010	0.062541728212748	0.68906396622291
0.14846759686582	0.064579174754500	0.71260757737091
0.15358716917154	0.066112432565600	0.73599393508168
0.15870674147726	0.067507231407819	0.75989338014951
0.16382631378297	0.069421701604787	0.78391739706005
0.16894588608869	0.071436871050537	0.80742316669225
0.17406545839441	0.072920352428261	0.83086409188866
0.17918503070013	0.074355367014026	0.85486327621976
0.18430460300585	0.076346415940657	0.87890894274036
0.18942417531156	0.078341778243969	0.90242324713858
0.19454374761728	0.079784573738790	0.92601055239867
0.19966331992300	0.081327950461825	0.95021499901217
0.20478289222872	0.083485200848301	0.97434656715797
0.20990246453443	0.085504141132204	0.99797306262951
0.21502203684015	0.087061203368648	1.0220127042261
0.22014160914587	0.089389115015323	1.0467691641072
0.22526118145159	0.093011151215595	1.0706344755614
0.23038075375731	0.096106622633520	1.0925898536482
0.23550032606302	0.097064449993942	1.1143007877700
0.24061989836874	0.097034762607559	1.1377617008526
0.24573947067446	0.097989001017009	1.1624461177050
0.25085904298018	0.099827940696538	1.1867442840710
0.25597861528590	0.10138913077260	1.2106520091889
0.26109818759161	0.10279078908538	1.2350164634689
0.26621775989733	0.10474325606941	1.2595508819323
0.27133733220305	0.10685023145516	1.2835833541226
0.27645690450877	0.10846508922032	1.3075607363179
0.28157647681449	0.11006651770247	1.3320892401804
0.28669604912020	0.11221593985181	1.3566540986424
0.29181562142592	0.11435983726976	1.3807302833842
0.29693519373164	0.11600081974469	1.4049039168552
0.30205476603736	0.11774830592776	1.4296459795200
0.30717433834308	0.12004204189401	1.4543280520198
0.31229391064879	0.12223168992077	1.4785443829335
0.31741348295451	0.12394068131652	1.5029701097752
0.32253305526023	0.12586348076087	1.5279591942879
0.32765262756595	0.12832881106467	1.5528076996973
0.33277219987167	0.13062373349168	1.5772225891256
0.33789177217738	0.13249259166548	1.6019371843090
0.34301134448310	0.13469339929323	1.6271848665750
0.34813091678882	0.13744902170899	1.6522014519164
0.35325048909454	0.14001140190637	1.6767921149990
0.35837006140025	0.14224683753606	1.7017010913301
0.36348963370597	0.14494095901165	1.7270038389222
0.36860920601169	0.14816886682772	1.7518568798207
0.37372877831741	0.15108977732032	1.7761356356664
0.37884835062313	0.15356931219450	1.8005901022458
0.38396792292884	0.15626079955683	1.8252525971417
0.38908749523456	0.15903215396694	1.8494593958732
0.39420706754028	0.16109691012294	1.8734351365118
0.39932663984600	0.16263109331851	1.8980782373764
0.40444621215172	0.16451250915938	1.9233272003376
0.40956578445743	0.16672151853326	1.9484570191669
0.41468535676315	0.16871442890346	1.9735915678292
0.41980492906887	0.17084012654877	1.9991720659004
0.42492450137459	0.17357304044213	2.0245795016797
0.43004407368031	0.17606914275134	2.0491623827231
0.43516364598602	0.17740407820252	2.0738541827034
0.44028321829174	0.17842137007644	2.0998351314093
0.44540279059746	0.18041803606654	2.1264728146142
0.45052236290318	0.18295910452398	2.1525269326454
0.45564193520890	0.18495387963449	2.1783521872381
0.46076150751461	0.18679077568377	2.2049101689162
0.46588107982033	0.18937215776323	2.2317398767456
0.47100065212605	0.19218537383295	2.2579542693290
0.47612022443177	0.19435784215067	2.2840914681819
0.48123979673749	0.19644962716509	2.3109960245837
0.48635936904320	0.19927423986812	2.3380766602765
0.49147894134892	0.20220532670623	2.3645436082240
0.49659851365464	0.20447195055374	2.3910529100649
0.50171808596036	0.20675422797818	2.4183533315517
0.50683765826607	0.20977348754282	2.4457393370574
0.51195723057179	0.21279463796031	2.4725162582826
0.51707680287751	0.21514534573501	2.4994472883622
0.52219637518323	0.21761109282230	2.5271816122406
0.52731594748895	0.22081214311922	2.5549126230495
0.53243551979466	0.22391649255425	2.5820503780715
0.53755509210038	0.22635984556669	2.6094523453679
0.54267466440610	0.22901841080067	2.6376579429349
0.54779423671182	0.23240009187790	2.6657753479061
0.55291380901754	0.23559243590864	2.6933313428694
0.55803338132325	0.23815083624051	2.7212607697409
0.56315295362897	0.24102377297070	2.7499829849232
0.56827252593469	0.24459694874465	2.7785425241797
0.57339209824041	0.24790108851162	2.8065941676413
0.57851167054613	0.25062220130109	2.8351272838356
